subject,day,time_slot,difficulty,past_attendance,attendance_percentage,high_attendance
Physics,Monday,11-12,3,87,86,1
Maths,Friday,10-11,2,65,60,0
CS,Monday,11-12,1,84,83,1
Maths,Tuesday,9-10,4,75,64,0
English,Monday,3-4,4,70,53,0
Physics,Tuesday,10-11,1,62,60,0
Maths,Thursday,9-10,4,64,57,0
Chemistry,Friday,10-11,2,65,61,0
Chemistry,Monday,10-11,5,84,79,1
English,Wednesday,2-3,3,70,63,0
Physics,Monday,3-4,1,92,86,1
CS,Tuesday,3-4,2,53,47,0
English,Monday,2-3,2,78,70,0
English,Tuesday,11-12,2,89,83,1
Physics,Thursday,11-12,2,75,69,0
Maths,Monday,2-3,3,70,60,0
Chemistry,Thursday,9-10,3,71,60,0
CS,Tuesday,9-10,3,58,46,0
Chemistry,Tuesday,2-3,2,64,52,0
CS,Monday,9-10,3,62,60,0
English,Wednesday,10-11,2,86,81,1
CS,Wednesday,2-3,5,88,69,0
Chemistry,Wednesday,9-10,3,60,50,0
CS,Monday,11-12,3,79,64,0
English,Thursday,3-4,2,53,45,0
English,Monday,9-10,4,72,57,0
CS,Thursday,2-3,5,75,61,0
English,Tuesday,10-11,4,95,77,1
English,Friday,10-11,2,79,74,0
English,Wednesday,11-12,4,85,66,0
Physics,Tuesday,3-4,1,51,44,0
Physics,Tuesday,9-10,1,69,69,0
Physics,Thursday,2-3,1,94,89,1
Maths,Monday,9-10,1,50,53,0
English,Wednesday,11-12,2,74,63,0
CS,Wednesday,2-3,5,94,77,1
English,Thursday,3-4,5,54,44,0
Maths,Thursday,9-10,5,80,63,0
Physics,Thursday,11-12,1,80,77,1
Physics,Friday,9-10,4,73,67,0
Physics,Thursday,3-4,1,83,77,1
CS,Monday,10-11,3,54,42,0
Physics,Wednesday,3-4,5,75,65,0
Physics,Friday,9-10,4,58,40,0
Maths,Wednesday,2-3,5,52,40,0
Chemistry,Thursday,11-12,1,59,53,0
Chemistry,Friday,3-4,2,71,64,0
CS,Thursday,2-3,4,55,40,0
Maths,Friday,2-3,1,75,69,0
Physics,Wednesday,9-10,5,83,70,0
English,Wednesday,3-4,1,88,88,1
Chemistry,Tuesday,9-10,1,92,90,1
CS,Monday,11-12,1,94,91,1
English,Friday,9-10,4,94,70,0
Chemistry,Monday,3-4,5,79,63,0
Physics,Monday,3-4,1,50,44,0
Physics,Monday,3-4,5,91,75,1
CS,Tuesday,10-11,1,63,56,0
English,Tuesday,10-11,1,85,80,1
Maths,Tuesday,9-10,2,61,60,0
Physics,Friday,9-10,5,79,64,0
CS,Friday,3-4,5,70,55,0
Maths,Thursday,10-11,4,79,56,0
Maths,Monday,2-3,3,71,54,0
CS,Friday,2-3,3,51,41,0
Maths,Thursday,9-10,2,81,78,1
Physics,Monday,10-11,2,54,47,0
Chemistry,Tuesday,9-10,2,90,88,1
English,Monday,3-4,4,52,40,0
CS,Wednesday,9-10,3,92,84,1
Physics,Thursday,11-12,5,92,83,1
English,Wednesday,2-3,2,76,64,0
Physics,Thursday,3-4,1,50,46,0
Physics,Friday,9-10,2,70,60,0
English,Tuesday,10-11,1,68,67,0
Chemistry,Wednesday,9-10,2,54,45,0
English,Thursday,9-10,5,81,60,0
Maths,Monday,9-10,4,77,58,0
Maths,Thursday,10-11,3,75,68,0
Physics,Tuesday,10-11,4,74,57,0
Maths,Wednesday,11-12,5,91,81,1
Chemistry,Tuesday,3-4,2,58,52,0
Chemistry,Tuesday,9-10,3,71,54,0
Chemistry,Friday,3-4,3,69,53,0
CS,Monday,10-11,4,87,62,0
Maths,Friday,10-11,2,81,75,1
English,Friday,10-11,2,58,56,0
CS,Thursday,10-11,3,70,65,0
Maths,Monday,9-10,3,95,81,1
CS,Wednesday,3-4,4,56,46,0
CS,Thursday,2-3,4,85,78,1
Maths,Thursday,2-3,4,53,40,0
Physics,Tuesday,10-11,4,58,52,0
CS,Wednesday,2-3,5,91,78,1
CS,Monday,2-3,5,62,40,0
Chemistry,Monday,2-3,3,52,44,0
Chemistry,Friday,9-10,5,92,78,1
CS,Monday,10-11,2,69,60,0
English,Monday,10-11,3,65,58,0
English,Monday,2-3,2,52,41,0
Chemistry,Thursday,3-4,5,95,82,1
Chemistry,Tuesday,9-10,2,69,63,0
CS,Tuesday,10-11,1,62,55,0
Maths,Thursday,9-10,4,68,48,0
Physics,Tuesday,9-10,2,70,60,0
Chemistry,Thursday,10-11,3,75,64,0
English,Monday,2-3,1,88,87,1
CS,Wednesday,9-10,1,92,89,1
Maths,Monday,10-11,3,74,63,0
Maths,Tuesday,9-10,1,84,76,1
CS,Tuesday,2-3,3,65,58,0
CS,Monday,3-4,2,50,43,0
Physics,Wednesday,3-4,5,81,64,0
Chemistry,Friday,9-10,4,95,78,1
Chemistry,Monday,10-11,2,76,72,0
Chemistry,Monday,2-3,5,61,47,0
Chemistry,Wednesday,11-12,3,54,40,0
CS,Wednesday,11-12,1,78,78,1
Physics,Tuesday,2-3,3,86,83,1
CS,Wednesday,9-10,5,64,43,0
English,Monday,3-4,4,70,55,0
English,Thursday,2-3,2,79,69,0
English,Thursday,9-10,2,77,74,0
English,Friday,9-10,5,63,53,0
Physics,Wednesday,11-12,3,92,91,1
English,Thursday,11-12,5,80,50,0
Physics,Monday,10-11,2,52,46,0
Physics,Wednesday,3-4,4,64,56,0
English,Monday,10-11,4,53,40,0
Chemistry,Wednesday,11-12,1,88,83,1
Maths,Monday,2-3,4,76,71,0
CS,Thursday,2-3,1,73,69,0
Physics,Monday,9-10,2,61,58,0
Maths,Tuesday,2-3,3,71,61,0
Chemistry,Friday,2-3,2,67,60,0
English,Tuesday,10-11,4,92,84,1
Chemistry,Monday,10-11,1,64,59,0
CS,Wednesday,3-4,1,85,77,1
CS,Tuesday,10-11,1,87,84,1
Chemistry,Friday,10-11,1,50,42,0
Physics,Monday,11-12,3,77,63,0
Maths,Thursday,10-11,1,94,86,1
English,Tuesday,9-10,5,60,42,0
CS,Thursday,10-11,1,69,71,0
CS,Tuesday,2-3,3,75,64,0
CS,Thursday,9-10,3,93,87,1
English,Monday,10-11,2,56,45,0
CS,Wednesday,2-3,1,82,79,1
Chemistry,Wednesday,9-10,1,71,72,0
English,Wednesday,10-11,5,82,73,0
Maths,Wednesday,10-11,3,56,49,0
Physics,Monday,2-3,1,64,60,0
Maths,Friday,11-12,5,61,42,0
CS,Friday,9-10,2,89,76,1
Chemistry,Tuesday,3-4,3,52,42,0
English,Wednesday,10-11,2,86,73,0
English,Friday,10-11,2,89,89,1
Maths,Monday,2-3,1,87,79,1
Physics,Monday,10-11,3,64,59,0
English,Monday,2-3,1,78,76,1
